product_id,warehouse_id,current_stock,allocation_share,stock_share,allocation_gap,allocation_status,allocated_order_qty
P0030,W006,691,0.22362284129585278,0.20663875598086123,0.016984085314991543,BALANCED,0.0
P0060,W004,156,0.22689453564200585,0.06851119894598155,0.15838333669602428,UNDER_ALLOCATED,274.0
P0019,W006,472,0.22440078265123103,0.086653203598311,0.13774757905292004,BALANCED,228.0
P0020,W001,106,0.12921063545458736,0.028327097808658473,0.10088353764592889,BALANCED,150.0
P0020,W002,325,0.13718261831252015,0.086851950828434,0.050330667484086156,BALANCED,159.0
P0020,W003,845,0.1859822128012534,0.22581507215392838,-0.03983285935267497,BALANCED,216.0
P0020,W004,224,0.1388415280401825,0.05986103687867451,0.07898049116150799,BALANCED,161.0
P0020,W005,1401,0.181881019307866,0.37439871726349544,-0.19251769795562945,OVER_ALLOCATED,211.0
P0020,W006,841,0.2269019860835906,0.2247461250668092,0.0021558610167814185,BALANCED,263.0
P0021,W001,123,0.18687789149025655,0.03254829319925907,0.1543295982909975,UNDER_ALLOCATED,51.0
P0019,W005,3814,0.1554704060003261,0.700201946025335,-0.5447315400250089,OVER_ALLOCATED,158.0
P0021,W002,530,0.21127155474554885,0.14024874305371793,0.07102281169183092,BALANCED,58.0
P0021,W004,732,0.11818309266788167,0.19370203757607832,-0.07551894490819665,BALANCED,33.0
P0021,W005,1671,0.17664376840039253,0.4421804710240804,-0.2655367026236879,OVER_ALLOCATED,49.0
P0021,W006,253,0.17692415533436143,0.06694892828790686,0.10997522704645457,BALANCED,49.0
P0022,W001,500,0.18688374226094934,0.20601565718994644,-0.0191319149289971,BALANCED,56.0
P0022,W002,145,0.17518917679431323,0.059744540585084466,0.11544463620922876,BALANCED,53.0
P0022,W003,159,0.16509974776427425,0.06551297898640297,0.09958676877787127,BALANCED,50.0
P0022,W004,452,0.13964686998394862,0.1862381540997116,-0.046591284115762965,BALANCED,42.0
P0022,W005,509,0.1726668195368035,0.20972393901936548,-0.03705711948256199,BALANCED,52.0
P0021,W003,470,0.13009953736155896,0.1243715268589574,0.005728010502601563,BALANCED,36.0
P0019,W004,169,0.25358715147562366,0.031026252983293555,0.2225608984923301,UNDER_ALLOCATED,257.0
P0019,W003,526,0.09705690526659058,0.0965669175693042,0.0004899876972863787,BALANCED,98.0
P0019,W002,140,0.12925974237730312,0.025702221406278685,0.10355752097102443,BALANCED,131.0
P0016,W001,198,0.17583319651945492,0.060829493087557605,0.11500370343189731,BALANCED,57.0
P0016,W002,1021,0.12986373337711377,0.3136712749615975,-0.18380754158448376,OVER_ALLOCATED,42.0
P0016,W003,731,0.13281891315055,0.22457757296466974,-0.09175865981411974,BALANCED,43.0
P0016,W004,205,0.19011656542439664,0.0629800307219662,0.12713653470243044,BALANCED,62.0
P0016,W005,554,0.18207190937448695,0.17019969278033795,0.011872216594148999,BALANCED,59.0
P0016,W006,546,0.1892956821539977,0.16774193548387098,0.021553746670126717,BALANCED,62.0
P0017,W001,247,0.10365307037203048,0.11645450259311646,-0.012801432221085984,BALANCED,33.0
P0017,W002,132,0.2635589421783953,0.06223479490806223,0.2013241472703331,UNDER_ALLOCATED,84.0
P0017,W003,331,0.22456297624383684,0.15605846298915607,0.06850451325468077,BALANCED,71.0
P0017,W004,42,0.12864186463469296,0.019801980198019802,0.10883988443667315,BALANCED,41.0
P0017,W005,884,0.12348722545943523,0.41678453559641676,-0.2932973101369815,OVER_ALLOCATED,39.0
P0017,W006,485,0.15609592111160914,0.22866572371522867,-0.07256980260361953,BALANCED,49.0
P0018,W001,623,0.2419382952762768,0.29003724394785846,-0.048098948671581654,BALANCED,68.0
P0018,W002,171,0.11783161931322991,0.07960893854748603,0.03822268076574388,BALANCED,33.0
P0018,W003,357,0.16280285863691826,0.16620111731843576,-0.0033982586815174964,BALANCED,46.0
P0018,W004,506,0.10545581314275754,0.23556797020484171,-0.13011215706208418,BALANCED,30.0
P0018,W005,331,0.22642496078089594,0.15409683426443202,0.07232812651646392,BALANCED,64.0
P0018,W006,160,0.14554645284992157,0.074487895716946,0.07105855713297557,BALANCED,41.0
