date,product_id,warehouse_id,units_sold,demand_zscore,anomaly_type
2025-12-28,P0005,W004,22,3.007034350037743,SPIKE
2025-12-28,P0055,W006,72,3.3951088717969498,SPIKE
2025-12-28,P0045,W006,86,3.2263880021671922,SPIKE
2025-12-28,P0036,W001,21,3.196860357062571,SPIKE
2025-12-28,P0006,W004,12,3.4441021854343004,SPIKE
2025-12-28,P0009,W002,22,3.106744269526628,SPIKE
2025-12-28,P0030,W006,40,4.002138148022455,SPIKE
2025-12-28,P0008,W001,29,3.020293438129484,SPIKE
2025-12-28,P0023,W003,44,3.066164593153089,SPIKE
2025-12-27,P0059,W003,28,3.0680119758417974,SPIKE
2025-12-27,P0058,W004,84,3.2122813551856297,SPIKE
2025-12-27,P0027,W004,25,3.3089407143681835,SPIKE
2025-12-27,P0015,W005,15,3.2334379602569117,SPIKE
2025-12-27,P0052,W003,55,3.069883995677851,SPIKE
2025-12-27,P0033,W006,92,3.1322657973533663,SPIKE
2025-12-27,P0037,W003,44,3.509300983153741,SPIKE
2025-12-27,P0025,W005,77,3.3517269090458255,SPIKE
2025-12-27,P0060,W006,86,3.2249512490897656,SPIKE
2025-12-25,P0024,W004,114,3.218005558694766,SPIKE
2025-12-25,P0048,W003,65,4.660050881814439,SPIKE
2025-12-25,P0016,W004,27,4.519186011071466,SPIKE
2025-12-25,P0051,W002,31,3.694669674975987,SPIKE
2025-12-25,P0040,W005,89,4.129411137299383,SPIKE
2025-12-25,P0051,W001,66,5.447379380074543,SPIKE
2025-12-25,P0016,W005,26,4.3954110089752705,SPIKE
2025-12-25,P0032,W004,53,3.465298885999846,SPIKE
2025-12-25,P0050,W005,59,3.3773511561242207,SPIKE
2025-12-25,P0016,W006,25,3.4430698119163274,SPIKE
2025-12-25,P0032,W005,56,3.9409085139378597,SPIKE
2025-12-25,P0050,W003,78,4.702840622174238,SPIKE
2025-12-25,P0017,W001,21,4.355740989089298,SPIKE
2025-12-25,P0022,W001,19,3.192703475383778,SPIKE
2025-12-25,P0003,W003,16,5.588326137385837,SPIKE
2025-12-25,P0032,W006,32,4.217774699672982,SPIKE
2025-12-25,P0049,W005,44,3.579386182647394,SPIKE
2025-12-25,P0049,W004,50,3.7665672857798205,SPIKE
2025-12-25,P0003,W004,31,3.772457535064531,SPIKE
2025-12-25,P0021,W005,66,4.394354292765789,SPIKE
2025-12-25,P0017,W002,58,4.334392289784038,SPIKE
2025-12-25,P0049,W003,56,3.4694443974085565,SPIKE
2025-12-25,P0049,W002,41,4.316789520633922,SPIKE
2025-12-25,P0033,W003,75,3.1059919008299994,SPIKE
2025-12-25,P0007,W001,17,3.157408869505289,SPIKE
2025-12-25,P0017,W003,56,6.661890016265097,SPIKE
2025-12-25,P0048,W005,86,3.149167406410672,SPIKE
2025-12-25,P0051,W003,76,3.151497736711217,SPIKE
2025-12-25,P0032,W002,62,4.60366502345203,SPIKE
2025-12-25,P0032,W001,37,3.9749182467771,SPIKE
2025-12-25,P0053,W002,24,3.2727777494233363,SPIKE
2025-12-25,P0002,W004,52,3.9764125785971176,SPIKE
2025-12-25,P0053,W005,20,3.330039861814079,SPIKE
2025-12-25,P0011,W004,23,4.839143794257263,SPIKE
2025-12-25,P0030,W005,24,4.255852523496863,SPIKE
2025-12-25,P0053,W004,22,3.486625505482667,SPIKE
2025-12-25,P0001,W001,23,4.680191631700076,SPIKE
2025-12-25,P0009,W004,41,3.3726644493762046,SPIKE
2025-12-25,P0015,W004,40,4.021052368353294,SPIKE
2025-12-25,P0022,W006,16,3.8555557417211506,SPIKE
2025-12-25,P0009,W001,17,3.028784580658736,SPIKE
2025-12-25,P0031,W001,107,3.1112779018570897,SPIKE
2025-12-25,P0016,W001,27,4.057851097713654,SPIKE
2025-12-25,P0052,W001,67,3.729792486740436,SPIKE
