product_id,warehouse_id,sales_velocity_7d,sales_velocity_30d,demand_volatility_30d,avg_lead_time_days,reliability_score,unit_cost,avg_daily_demand,demand_std,current_stock,safety_stock,reorder_point,eoq,stock_status,stockout_probability,recommended_order_qty,supplier_delay_risk,stockout_risk,overstock_risk,slow_moving,dead_inventory
P0030,W006,26.857142857142858,23.0,0.2351099944097484,3,0.69,27.99,23.0,5.407529871424213,691,20.0,89.0,387.0,OVERSTOCK,0.0,0.0,False,False,True,False,False
P0060,W004,58.57142857142857,51.16666666666666,0.1857002637697797,26,0.61,166.04,51.16666666666666,9.501663496220392,156,111.0,1441.0,237.0,REORDER_NEEDED,1.0,237.0,True,False,False,False,False
P0019,W006,71.85714285714286,68.5,0.249688167291143,27,0.92,218.81,68.5,17.103639459443293,472,158.0,2008.0,239.0,REORDER_NEEDED,1.0,239.0,False,False,False,False,False
P0020,W001,36.71428571428572,33.733333333333334,0.218663801468742,27,0.92,149.16,33.733333333333334,7.376258902878897,106,68.0,979.0,203.0,REORDER_NEEDED,1.0,203.0,False,False,False,False,False
P0020,W002,42.142857142857146,36.63333333333333,0.2045882380274301,27,0.92,149.16,36.63333333333333,7.494749119738189,325,69.0,1058.0,212.0,REORDER_NEEDED,1.0,212.0,False,False,False,False,False
P0020,W003,64.42857142857143,52.833333333333336,0.2226848591404983,27,0.92,149.16,52.833333333333336,11.765183391256327,845,109.0,1536.0,254.0,REORDER_NEEDED,1.0,254.0,False,False,False,False,False
P0020,W004,48.85714285714285,38.8,0.2845454848341154,27,0.92,149.16,38.8,11.040364811563675,224,102.0,1150.0,218.0,REORDER_NEEDED,1.0,218.0,False,False,False,False,False
P0020,W005,52.0,48.53333333333333,0.1510945949987481,27,0.92,149.16,48.53333333333333,7.333124343939241,1401,68.0,1378.0,244.0,HEALTHY,0.0087,0.0,False,False,False,False,False
P0020,W006,67.42857142857143,60.93333333333333,0.1985303598552135,27,0.92,149.16,60.93333333333333,12.097116593844342,841,112.0,1757.0,273.0,REORDER_NEEDED,1.0,273.0,False,False,False,False,False
P0021,W001,41.142857142857146,33.43333333333333,0.2666805409788044,11,0.72,307.87,33.43333333333333,8.916019420058026,123,62.0,430.0,141.0,REORDER_NEEDED,1.0,141.0,False,False,False,False,False
P0019,W005,46.42857142857143,45.06666666666667,0.2601398871810266,27,0.92,218.81,45.06666666666667,11.7236375822916,3814,108.0,1325.0,194.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0021,W002,43.85714285714285,38.73333333333333,0.2354467908688192,11,0.72,307.87,38.73333333333333,9.119639032985596,530,64.0,490.0,152.0,HEALTHY,0.0003,0.0,False,False,False,False,False
P0021,W004,23.714285714285715,20.6,0.2589484944488873,11,0.72,307.87,20.6,5.334338985647078,732,37.0,264.0,111.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0021,W005,34.285714285714285,32.4,0.2957725611030314,11,0.72,307.87,32.4,9.583030979738217,1671,67.0,423.0,139.0,OVERSTOCK,0.0,0.0,False,False,True,False,False
P0021,W006,36.57142857142857,30.33333333333333,0.30490536697789,11,0.72,307.87,30.33333333333333,9.248796131662662,253,65.0,399.0,134.0,REORDER_NEEDED,0.9957,134.0,False,False,False,False,False
P0022,W001,12.714285714285714,10.2,0.2514722192514382,26,0.87,74.05,10.2,2.5650166363646694,500,24.0,289.0,159.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0022,W002,10.714285714285714,9.4,0.2380435704200704,26,0.87,74.05,9.4,2.237609561948662,145,21.0,265.0,152.0,REORDER_NEEDED,1.0,152.0,False,False,False,False,False
P0022,W003,10.0,8.9,0.2311177366416592,26,0.87,74.05,8.9,2.056947856110767,159,19.0,250.0,148.0,REORDER_NEEDED,1.0,148.0,False,False,False,False,False
P0022,W004,8.428571428571429,7.666666666666667,0.2331611508950042,26,0.87,74.05,7.666666666666667,1.7875688235283655,452,17.0,216.0,137.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0022,W005,9.428571428571429,9.233333333333333,0.2391200515050797,26,0.87,74.05,9.233333333333333,2.207875142230236,509,21.0,261.0,151.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0021,W003,26.142857142857142,22.966666666666665,0.2075557442136207,11,0.72,307.87,22.966666666666665,4.766863592106155,470,33.0,286.0,117.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0019,W004,74.57142857142857,76.73333333333333,0.2840173518508989,27,0.92,218.81,76.73333333333333,21.79359813202564,169,201.0,2273.0,253.0,CRITICAL_STOCKOUT_RISK,1.0,253.0,False,True,False,False,False
P0019,W003,28.0,27.83333333333333,0.2914364933997948,27,0.92,218.81,27.83333333333333,8.111649066294287,526,75.0,826.0,152.0,REORDER_NEEDED,1.0,152.0,False,False,False,False,False
P0019,W002,42.57142857142857,39.56666666666667,0.2778678259116419,27,0.92,218.81,39.56666666666667,10.9943036452373,140,101.0,1169.0,182.0,REORDER_NEEDED,1.0,182.0,False,False,False,False,False
P0016,W001,17.142857142857142,13.466666666666669,0.3196808770487704,19,0.98,95.79,13.466666666666669,4.305035810923442,198,31.0,287.0,160.0,REORDER_NEEDED,0.999,160.0,False,False,False,False,False
P0016,W002,12.0,10.1,0.2525605864650048,19,0.98,95.79,10.1,2.5508619232965484,1021,19.0,211.0,139.0,OVERSTOCK,0.0,0.0,False,False,True,False,False
P0016,W003,11.857142857142858,10.566666666666666,0.2089471743435511,19,0.98,95.79,10.566666666666666,2.20787514223019,731,16.0,217.0,142.0,OVERSTOCK,0.0,0.0,False,False,True,False,False
P0016,W004,16.714285714285715,14.266666666666667,0.2516731354122337,19,0.98,95.79,14.266666666666667,3.5905367318812007,205,26.0,297.0,165.0,REORDER_NEEDED,1.0,165.0,False,False,False,False,False
P0016,W005,15.428571428571429,13.866666666666667,0.2378513734710535,19,0.98,95.79,13.866666666666667,3.298205712131942,554,24.0,287.0,163.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0016,W006,17.0,14.7,0.2144894756351557,19,0.98,95.79,14.7,3.1529952918367883,546,23.0,302.0,167.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0017,W001,14.0,11.8,0.2306407981321365,8,0.8,155.6,11.8,2.7215614179592107,247,15.0,109.0,118.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0017,W002,34.714285714285715,29.633333333333333,0.2801710584915485,8,0.8,155.6,29.633333333333333,8.302402366632887,132,46.0,283.0,186.0,REORDER_NEEDED,1.0,186.0,False,False,False,False,False
P0017,W003,31.0,25.633333333333333,0.2841911324564996,8,0.8,155.6,25.633333333333333,7.284766028634939,331,41.0,246.0,173.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0017,W004,16.714285714285715,14.566666666666666,0.2256665647261688,8,0.8,155.6,14.566666666666666,3.2872096261778587,42,18.0,135.0,131.0,REORDER_NEEDED,1.0,131.0,False,False,False,False,False
P0017,W005,15.714285714285714,13.866666666666667,0.2286248177347004,8,0.8,155.6,13.866666666666667,3.1702641392545123,884,18.0,129.0,128.0,OVERSTOCK,0.0,0.0,False,False,True,False,False
P0017,W006,21.285714285714285,17.466666666666665,0.2730155559598698,8,0.8,155.6,17.466666666666665,4.768671710765726,485,27.0,167.0,143.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0018,W001,16.714285714285715,18.866666666666667,0.2610523375145011,19,0.98,264.75,18.866666666666667,4.925187434440254,623,36.0,394.0,114.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0018,W002,8.714285714285714,9.333333333333334,0.3008608339071569,19,0.98,264.75,9.333333333333334,2.808034449800131,171,21.0,198.0,80.0,REORDER_NEEDED,0.6976,80.0,False,False,False,False,False
P0018,W003,11.857142857142858,12.966666666666669,0.304119925534091,19,0.98,264.75,12.966666666666669,3.943421701092048,357,29.0,275.0,95.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0018,W004,7.571428571428571,8.533333333333333,0.2882568280586135,19,0.98,264.75,8.533333333333333,2.459791599433502,506,18.0,180.0,77.0,HEALTHY,0.0,0.0,False,False,False,False,False
P0018,W005,15.285714285714286,18.3,0.341754213229316,19,0.98,264.75,18.3,6.254102102096483,331,46.0,394.0,112.0,REORDER_NEEDED,0.7299,112.0,False,False,False,False,False
P0018,W006,11.571428571428571,11.766666666666667,0.2829097822602454,19,0.98,264.75,11.766666666666667,3.328905104595554,160,24.0,248.0,90.0,REORDER_NEEDED,1.0,90.0,False,False,False,False,False
P0019,W001,47.142857142857146,42.2,0.238384385591643,27,0.92,218.81,42.2,10.059821071967336,326,93.0,1232.0,188.0,REORDER_NEEDED,1.0,188.0,False,False,False,False,False
