product_id,warehouse_id,delayed_lead_time,stock_coverage_days,delay_exceeds_coverage
P0030,W006,8.0,30.043478260869566,False
P0060,W004,31.0,3.0488599348534207,True
P0019,W006,32.0,6.890510948905109,True
P0020,W001,32.0,3.142292490118577,True
P0020,W002,32.0,8.871701546860782,True
P0020,W003,32.0,15.993690851735016,True
P0020,W004,32.0,5.773195876288661,True
P0020,W005,32.0,28.866758241758244,True
P0020,W006,32.0,13.801969365426697,True
P0021,W001,16.0,3.6789631106679965,True
P0019,W005,32.0,84.63017751479289,False
P0021,W002,16.0,13.683304647160071,True
P0021,W004,16.0,35.53398058252427,False
P0021,W005,16.0,51.574074074074076,False
P0021,W006,16.0,8.340659340659341,True
P0022,W001,31.0,49.01960784313726,False
P0022,W002,31.0,15.425531914893616,True
P0022,W003,31.0,17.865168539325843,True
P0022,W004,31.0,58.95652173913043,False
P0022,W005,31.0,55.12635379061372,False
P0021,W003,16.0,20.464441219158203,False
P0019,W004,32.0,2.202432667245873,True
P0019,W003,32.0,18.898203592814376,True
P0019,W002,32.0,3.5383319292333613,True
P0016,W001,24.0,14.702970297029701,True
P0016,W002,24.0,101.0891089108911,False
P0016,W003,24.0,69.17981072555206,False
P0016,W004,24.0,14.369158878504672,True
P0016,W005,24.0,39.95192307692307,False
P0016,W006,24.0,37.142857142857146,False
P0017,W001,13.0,20.93220338983051,False
P0017,W002,13.0,4.454443194600675,True
P0017,W003,13.0,12.912873862158648,True
P0017,W004,13.0,2.883295194508009,True
P0017,W005,13.0,63.75,False
P0017,W006,13.0,27.767175572519086,False
P0018,W001,24.0,33.02120141342756,False
P0018,W002,24.0,18.32142857142857,True
P0018,W003,24.0,27.532133676092542,False
P0018,W004,24.0,59.296875,False
P0018,W005,24.0,18.08743169398907,True
P0018,W006,24.0,13.597733711048157,True
P0019,W001,32.0,7.725118483412322,True
P0022,W006,31.0,76.09195402298852,False
P0015,W006,24.0,38.72509960159363,False
P0023,W001,31.0,3.659043659043659,True
P0023,W003,31.0,12.527472527472527,True
P0027,W003,31.0,12.885906040268456,True
P0027,W004,31.0,46.32743362831859,False
P0027,W005,31.0,10.895270270270272,True
P0027,W006,31.0,12.942008486562944,True
P0028,W001,32.0,44.76190476190476,False
P0028,W002,32.0,30.155440414507773,True
P0028,W003,32.0,41.71348314606741,False
P0028,W004,32.0,20.058651026392962,True
P0027,W002,31.0,12.257336343115124,True
P0028,W005,32.0,92.97520661157026,False
P0029,W001,32.0,8.419452887537995,True
P0029,W002,32.0,2.338642078792959,True
P0029,W003,32.0,14.063173007896626,True
P0029,W004,32.0,9.919354838709676,True
P0029,W005,32.0,19.696147585458494,True
P0029,W006,32.0,10.983471074380164,True
P0030,W001,8.0,22.36686390532544,False
P0030,W002,8.0,42.08,False
P0028,W006,32.0,55.99236641221375,False
P0027,W001,31.0,47.368421052631575,False
P0026,W006,33.0,11.951219512195124,True
