product_id,warehouse_id,current_stock,new_safety_stock,new_reorder_point,new_stockout_risk
P0030,W006,691,148.69155,355.69155,False
P0060,W004,156,1033.2731137221492,5024.273113722148,True
P0019,W006,472,1095.2739000000001,6643.7739,True
P0020,W001,106,539.37576,3271.77576,True
P0020,W002,325,585.7450200000001,3553.0450200000005,True
P0020,W003,845,844.7733000000001,5124.2733,False
P0020,W004,224,620.38872,3763.1887199999996,True
P0020,W005,1401,776.01888,4707.218879999999,False
P0020,W006,841,974.28744,5909.8874399999995,True
P0021,W001,123,404.40127872920414,1507.7012787292042,True
P0019,W005,3814,720.58896,4370.988960000001,False
P0021,W002,530,468.50875960452163,1746.7087596045214,False
P0021,W004,732,249.17247283613975,928.9724728361398,False
P0021,W005,1671,391.9023359170353,1461.1023359170354,False
P0021,W006,253,366.9044502926977,1367.9044502926977,True
P0022,W001,500,167.45257060100985,963.0525706010097,False
P0022,W002,145,154.3190356519111,887.5190356519112,True
P0022,W003,159,146.11057630872432,840.3105763087244,False
P0022,W004,452,125.863043262197,723.863043262197,False
P0022,W005,509,151.58288253751547,871.7828825375154,False
P0021,W003,470,277.79908379304254,1035.6990837930425,False
P0019,W004,169,1226.9199600000002,7442.31996,True
P0019,W003,526,445.03829999999994,2699.5382999999993,False
P0019,W002,140,632.6472600000002,3837.5472600000003,True
P0016,W001,198,170.59394494573598,938.1939449457361,False
P0016,W002,1021,127.94545870930199,703.6454587093019,False
P0016,W003,731,133.85713006880772,736.1571300688076,False
P0016,W004,205,180.72823870488864,993.9282387048887,False
P0016,W005,554,175.66109182531233,966.0610918253124,False
P0016,W006,546,186.21764782442963,1024.1176478244297,False
P0017,W001,247,114.11290895319424,397.31290895319427,False
P0017,W002,132,286.57168378358665,997.7716837835867,True
P0017,W003,331,247.88934176555472,863.0893417655548,False
P0017,W004,42,140.86819551566634,490.46819551566637,True
P0017,W005,884,134.09878566251075,466.89878566251076,False
P0017,W006,485,168.9128934787395,588.1128934787395,False
P0018,W001,623,239.00042782001626,1314.4004278200164,False
P0018,W002,171,118.23342719011407,650.2334271901141,False
P0018,W003,357,164.26001134626563,903.3600113462658,False
P0018,W004,506,108.09913343096142,594.4991334309614,False
P0018,W005,331,231.8219697406165,1274.9219697406165,False
P0018,W006,160,149.05857070753666,819.7585707075367,False
P0019,W001,326,674.7526800000002,4092.9526800000003,True
P0022,W006,662,142.82719257144961,821.4271925714495,False
P0015,W006,324,105.98782223113795,582.887822231138,False
P0030,W001,252,72.83731000000002,174.23731000000004,False
P0030,W002,1052,161.62125,386.62125000000003,False
P0030,W003,398,112.05740000000002,268.05740000000003,False
P0015,W005,1292,115.2775915103612,633.9775915103611,False
P0015,W003,394,236.0445921402634,1298.1445921402633,False
P0015,W004,68,284.6047497362031,1565.204749736203,True
P0015,W001,427,105.14329775120858,578.2432977512086,False
P0015,W002,2331,214.08695566209934,1177.3869556620994,False
P0060,W005,656,679.8735145663654,3305.8735145663654,True
P0030,W004,162,67.66543000000001,161.86543000000003,False
P0060,W001,423,535.8211065295316,2605.4211065295312,True
P0060,W002,206,625.3490049823301,3040.74900498233,True
P0060,W003,307,630.7341417313706,3066.9341417313703,True
P0030,W005,789,82.103595,196.403595,False
P0060,W006,529,1029.907403253999,5007.907403253999,True
